Period,TPU,GPR,DMGSRMRCHSACD,IPTOTSAKD,IMPCOV,NEER,REER,RETSALESSA,TOTRESV,UNEMPSA_,GEPU
2018-12-01,164.64574417498812,90.607666015625,2666089.93169116,1706395193864.51,4.53402683205,101.42288052948,101.90507344029,96.92508052894,12088123.2869459,6.65042593332,270.8904607646285
2019-01-01,141.71077343349836,87.42410278320312,2553562.18382815,1710120323810.97,4.76415033979,101.21040124285,101.83581085484,97.12581788617,12165554.1457572,6.75180858906,263.32781227761274
2019-02-01,127.47170749906726,96.80016326904297,2462945.83606834,1711028711475.84,4.94737367563,101.35317061625,101.90860256275,97.20662448469,12185113.393867,6.71531745079,205.68947870107604
2019-03-01,94.09791773419668,82.32829284667969,2559149.69113021,1724308459779.02,4.79870669859,101.60998744731,102.04245666335,97.76187374124,12280608.765526,6.6905540532,250.97500789611607
2019-04-01,91.15902184922588,79.25344848632812,2667134.13176986,1723253863326.92,4.61247849281,101.68449543922,102.09186318934,96.97295147969,12302098.8202303,6.61501111695,191.581683033558
2019-05-01,189.79333614508647,106.4719009399414,2639254.28873749,1726716287978.96,4.65650160348,101.90939359772,102.2718669284,96.56419530627,12289691.8275026,6.57453817567,241.48293951643427
2019-06-01,266.00452355197166,106.58845520019531,2539299.2952379,1711148450601.24,4.90358862769,101.64942106076,102.08855461236,96.82083204383,12451679.1464301,6.51917428278,316.5329096108339
2019-07-01,145.1146457343524,93.52125549316406,2881445.21178366,1718296464565.42,4.30876947915,101.57977039604,102.33179093149,95.98012807253,12415483.1843755,6.58519879787,262.04133846418586
2019-08-01,254.22015566562214,103.4044189453125,2453974.61404248,1716250363314.72,5.07672189886,101.88207450244,102.4101089102,96.55701362928,12458146.6623594,6.55852243386,317.81909975977504
2019-09-01,136.9317333067769,90.36798858642578,2499797.86954157,1723657883119.85,4.96420167274,102.07565464947,102.56336461166,96.82467931298,12409500.765496,6.57486994658,273.8658485954781
2019-10-01,139.26630434782606,97.83673095703125,2581544.28184895,1718446638029.36,4.83841972031,101.7883991758,102.43549776823,96.08907100724,12490594.7621566,6.582537182,258.45596324668475
2019-11-01,119.83535664044183,73.07838439941406,2461374.58926702,1723975522090.59,5.05877159103,101.78764771284,102.56323845019,96.68188371255,12451531.8470647,6.56361063538,253.46684796858133
2019-12-01,146.31522323830015,74.27989196777344,2637061.20451257,1725733071616.6,4.76892211011,101.70586025697,102.41237389586,97.43149696685,12575939.4839167,6.53277321876,266.1682626834127
2020-01-01,139.64033596125108,138.4209442138672,2675991.58750902,1635727339813.03,4.7161131753,101.64991387343,102.47497824101,96.36844073214,12620279.1828484,6.64524452761,228.01071789494904
2020-02-01,95.7377758546084,75.95555877685547,2549480.73196425,1642954347561.86,4.97269585609,102.11339307765,102.90098023539,96.00862606214,12677792.27102,6.65124323406,230.56226290988064
2020-03-01,61.234102684879886,81.54003143310547,2340870.49199793,1635731338671.38,5.33884248716,102.63615623593,102.98111323253,88.78240161993,12497538.8396159,6.90159853215,357.00669338847064
2020-04-01,55.478502080443825,69.33940124511719,2069479.3033438,1470824495898.01,6.09546009329,103.43335621438,103.56173424576,74.36295595085,12614428.5074163,9.3144811244,358.98895871589235
2020-05-01,66.5,68.50721740722656,2108473.56807528,1512916731086.74,6.04147120857,103.17238338709,103.29324310102,84.99797610355,12738282.3555672,9.44927424518,431.6423744980644
2020-06-01,59.9,71.22785949707031,2464112.3409826,1601239217734.44,5.22584512027,102.2038019504,102.35464146178,92.05979785314,12877069.4529105,9.16256573618,328.70887586589487
2020-07-01,57.4,66.47328186035156,2395863.46622923,1658567674195.26,5.4984673682,101.77286151472,102.16456286369,98.74474860642,13173577.087727,9.03281751555,352.13918263067427
2020-08-01,67.2,65.46604919433594,2439328.58951864,1679011097130.55,5.42510298434,101.05776620068,101.58878756392,99.7474189285,13233608.8107874,8.74640008861,301.68978966009087
2020-09-01,67.8,80.37738037109375,2412737.21269761,1709150910596.11,5.45867377227,100.95627307893,101.53605472558,99.89112718626,13170345.342326,8.6042007644,290.01401913356005
2020-10-01,70.24901703800785,76.08316802978516,2382203.79383355,1729294080304.03,5.55178361239,100.58967498527,101.29233452197,102.97132877506,13225479.9839879,8.47153358655,307.7767775643895
2020-11-01,69.8753423891777,70.06746673583984,2580696.45491547,1745300095147.65,5.19254415023,100.26460234092,101.04427044879,99.67566148001,13400380.2804941,8.33860194973,368.4186704383788
2020-12-01,98.01160367261872,64.06729125976562,2603132.68277047,1759731900201.44,5.24279956835,99.64229027476,100.38281723942,101.42249314171,13647702.9055995,8.3017746271,295.68451290122255
2021-01-01,75.4428165318171,77.418701171875,2639127.57671918,1771343110319.74,5.16540025439,99.7156237863,100.32299850776,100.25057964504,13632150.2561567,8.05835663904,280.61179179458486
2021-02-01,36.8550368550368,73.95680236816406,2797092.45492742,1762699799805.56,4.86390480814,100.01563633098,100.61460845413,102.59253020543,13604791.4403382,8.03167360753,215.39828527923123
2021-03-01,46.8245425188374,78.61876678466797,2878717.32444884,1775932103541.97,4.67147114133,100.61845189397,101.17638990977,105.81689734039,13447844.9052022,7.87666919164,215.28777388710668
2021-04-01,47.9506793012901,88.16622161865234,2859774.53146507,1798122418545.1,4.754276355,100.33806419822,100.94723434151,105.45127489537,13596158.4355756,7.90279445577,199.4025468895693
2021-05-01,49.2583573168031,93.00713348388672,2741024.94392396,1771671169073.19,5.00613876995,100.0331068284,100.78470393249,107.14826864718,13721951.2411806,7.75465347625,190.2845715671504
2021-06-01,49.3487117690939,74.12712097167969,2849909.85846926,1783517437649.83,4.81239090075,100.17339352421,101.16599298761,108.76947355016,13714880.2708448,7.59795957029,178.8375602863134
2021-07-01,57.2197913160552,58.42076873779297,2869243.68437826,1786984062834.89,4.81592849508,100.55913799427,101.76661121596,105.59163058458,13818072.4189283,7.36357654441,205.5489963258521
2021-08-01,39.4601395402035,89.4865493774414,2988222.93382218,1780287120094.33,4.846864125,100.6054040862,101.89071621305,105.7580955529,14483510.5354523,7.24373475809,216.49514459621557
2021-09-01,51.5433023673958,80.69696807861328,2940411.39335792,1768962980570.72,4.89482401276,100.60859595731,101.8892859435,106.45209139609,14392796.2956146,7.06682529465,205.3819462606216
